iter	Passed	Remaining
498	594	597
499	595	595
500	596	594
501	597	592
502	599	591
503	600	590
504	601	589
505	602	588
506	603	587
507	604	585
508	605	584
509	606	582
510	607	581
511	608	579
512	609	578
513	610	577
514	611	575
515	612	574
516	612	572
517	613	571
518	614	569
519	616	568
520	617	567
521	618	566
522	619	564
523	620	563
524	620	561
525	621	560
526	622	559
527	623	557
528	624	556
529	625	554
530	626	553
531	627	552
532	628	550
533	629	549
534	630	547
535	631	546
536	632	545
537	634	544
538	635	543
539	636	541
540	637	540
541	638	539
542	639	537
543	640	536
544	641	535
545	641	533
546	642	532
547	643	531
548	645	529
549	646	528
550	647	527
551	648	526
552	649	524
553	650	523
554	651	522
555	652	521
556	653	519
557	654	518
558	655	516
559	656	515
560	657	514
561	657	512
562	658	511
563	660	510
564	662	510
565	663	509
566	664	507
567	665	506
568	666	505
569	667	503
570	668	502
571	669	500
572	670	499
573	671	498
574	672	496
575	673	495
576	674	494
577	675	492
578	676	491
579	677	490
580	678	489
581	679	487
582	680	486
583	681	485
584	683	484
585	684	483
586	685	482
587	686	481
588	687	479
589	688	478
590	689	477
591	694	478
592	697	478
593	698	477
594	699	476
595	700	474
596	701	473
597	702	472
598	703	471
599	705	470
600	708	470
601	709	469
602	711	468
603	712	467
604	714	466
605	715	464
606	716	463
607	717	462
608	718	461
609	719	459
610	721	459
611	723	458
612	725	457
613	726	456
614	727	455
615	728	454
616	729	452
617	730	451
618	731	450
619	732	449
620	733	447
621	734	446
622	738	446
623	740	446
624	741	445
625	743	443
626	744	442
627	745	441
628	746	440
629	747	438
630	748	437
631	749	436
632	750	435
633	752	434
634	753	433
635	754	431
636	755	430
637	757	429
638	758	428
639	759	427
640	760	425
641	761	424
642	762	423
643	763	421
644	763	420
645	764	419
646	769	419
647	771	418
648	772	417
649	774	417
650	775	415
651	776	414
652	777	413
653	778	411
654	779	410
655	780	409
656	781	408
657	784	407
658	785	406
659	786	405
660	787	403
661	788	402
662	789	401
663	790	399
664	791	398
665	792	397
666	793	396
667	794	394
668	795	393
669	796	392
670	797	390
671	798	389
672	799	388
673	800	387
674	801	385
675	801	384
676	802	383
677	804	381
678	806	381
679	810	381
680	813	380
681	814	379
682	816	378
683	817	377
684	818	376
685	819	374
686	820	373
687	821	372
688	823	371
689	826	371
690	828	370
691	830	369
692	831	368
693	832	367
694	833	365
695	834	364
696	835	363
697	836	362
698	839	361
699	846	362
700	847	361
701	849	360
702	850	359
703	851	358
704	854	357
705	860	358
706	862	357
707	863	356
708	864	355
709	865	353
710	866	352
711	867	351
712	870	350
713	877	351
714	880	350
715	881	349
716	882	348
717	883	346
718	885	346
719	891	346
720	894	346
721	900	346
722	905	346
723	906	345
724	938	355
725	940	354
726	942	354
727	945	353
728	947	352
729	960	355
730	962	354
731	964	352
732	965	351
733	967	350
734	968	349
735	969	347
736	971	346
737	976	346
738	977	345
739	979	344
740	981	342
741	982	341
742	984	340
743	985	339
744	991	339
745	993	338
746	994	336
747	996	335
748	997	334
749	1000	333
750	1001	332
751	1004	331
752	1006	330
753	1008	329
754	1010	327
755	1012	326
756	1013	325
757	1014	323
758	1015	322
759	1016	320
760	1017	319
761	1022	319
762	1023	317
763	1024	316
764	1025	315
765	1026	313
766	1027	312
767	1028	310
768	1029	309
769	1030	307
770	1032	306
771	1035	305
772	1038	304
773	1039	303
774	1040	302
775	1041	300
776	1042	299
777	1044	297
778	1045	296
779	1046	295
780	1048	293
781	1051	293
782	1053	291
783	1054	290
784	1056	289
785	1057	287
786	1059	286
787	1060	285
788	1061	283
789	1062	282
790	1063	280
791	1065	279
792	1067	278
793	1068	277
794	1069	275
795	1070	274
796	1071	272
797	1072	271
798	1073	269
799	1074	268
800	1074	267
801	1075	265
802	1076	264
803	1077	262
804	1078	261
805	1081	260
806	1083	259
807	1084	257
808	1085	256
809	1086	254
810	1088	253
811	1089	252
812	1090	250
813	1091	249
814	1092	247
815	1093	246
816	1095	245
817	1096	243
818	1098	242
819	1099	241
820	1100	239
821	1101	238
822	1102	237
823	1103	235
824	1104	234
825	1105	232
826	1106	231
827	1107	230
828	1108	228
829	1111	227
830	1112	226
831	1113	224
832	1114	223
833	1115	222
834	1116	220
835	1117	219
836	1118	217
837	1119	216
838	1120	215
839	1121	213
840	1123	212
841	1129	211
842	1131	210
843	1133	209
844	1135	208
845	1136	206
846	1138	205
847	1144	205
848	1146	203
849	1147	202
850	1150	201
851	1152	200
852	1155	199
853	1157	197
854	1159	196
855	1161	195
856	1162	194
857	1164	192
858	1165	191
859	1167	190
860	1168	188
861	1171	187
862	1174	186
863	1176	185
864	1178	183
865	1180	182
866	1182	181
867	1187	180
868	1190	179
869	1191	178
870	1192	176
871	1194	175
872	1196	174
873	1198	172
874	1208	172
875	1210	171
876	1212	170
877	1214	168
878	1217	167
879	1220	166
880	1222	165
881	1225	163
882	1226	162
883	1228	161
884	1229	159
885	1234	158
886	1236	157
887	1238	156
888	1240	154
889	1243	153
890	1254	153
891	1256	152
892	1258	150
893	1259	149
894	1271	149
895	1304	151
896	1305	149
897	1307	148
898	1309	147
899	1314	146
900	1316	144
901	1320	143
902	1324	142
903	1338	142
904	1339	140
905	1342	139
906	1348	138
907	1350	136
908	1352	135
909	1354	133
910	1356	132
911	1357	131
912	1360	129
913	1363	128
914	1363	126
915	1365	125
916	1367	123
917	1369	122
918	1370	120
919	1375	119
920	1377	118
921	1377	116
922	1380	115
923	1424	117
924	1426	115
925	1428	114
926	1430	112
927	1431	111
928	1494	114
929	1495	112
930	1497	110
931	1498	109
932	1501	107
933	1503	106
934	1503	104
935	1506	102
936	1508	101
937	1509	99
938	1511	98
939	1512	96
940	1514	94
941	1515	93
942	1523	92
943	1525	90
944	1526	88
945	1572	89
946	1575	88
947	1577	86
948	1579	84
949	1581	83
950	1583	81
951	1585	79
952	1587	78
953	1592	76
954	1594	75
955	1608	74
956	1610	72
957	1612	70
958	1619	69
959	1622	67
960	1623	65
961	1626	64
962	1637	62
963	1639	61
964	1641	59
965	1649	58
966	1651	56
967	1653	54
968	1654	52
969	1656	51
970	1664	49
971	1666	48
972	1668	46
973	1669	44
974	1671	42
975	1673	41
976	1679	39
977	1680	37
978	1682	36
979	1683	34
980	1685	32
981	1688	30
982	1692	29
983	1694	27
984	1695	25
985	1697	24
986	1698	22
987	1700	20
988	1701	18
989	1703	17
990	1711	15
991	1713	13
992	1715	12
993	1717	10
994	1719	8
995	1727	6
996	1729	5
997	1733	3
998	1735	1
999	1742	0
