WP_ID,DataType,Date_Assessment_Original,Date_Assessment,Time_Assessment,Temp,pH,SEC,Turbidity,Total_Iron,Titration_1,Titration_2,Volume,N_VALUE,HCO3,Corrected_HCO3,Tryptophan_Probe,Sample_taken,SURVEY_DETAIL_ID,COUNTRY,Comment,Final_HCO3
MMZ05,Field,,2016-09-16,09:10:00,25.3,6.0,534.6,0.59,0.0,380.0,375.0,50.0,0.16,92.0394977447275,92.0394977447275,,Sampled,909,MAL,PVC pipes installed,92.0394977447275
MMZ06,Field,,2016-09-16,10:50:00,24.9,6.42,673.2,2.97,0.01,818.0,828.0,50.0,0.16,200.658295745459,200.658295745459,,Sampled,910,MAL,PVC pipes installed,200.658295745459
MMZ07,Field,,2016-09-16,12:15:00,25.5,6.03,370.3,0.42,0.0,405.0,396.0,50.0,0.16,97.6472022430818,97.6472022430818,,Sampled,911,MAL,PVC pipes installed,97.6472022430818
MMZ08,Field,,2016-09-16,14:55:00,24.6,6.17,363.6,0.62,0.0,450.0,452.0,50.0,0.16,109.959770815555,109.959770815555,,Sampled,912,MAL,PVC pipes installed,109.959770815555
MMZ01,Field,,2016-09-17,09:30:00,24.4,6.08,207.2,1.19,0.0,318.0,322.0,50.0,0.16,78.0202364988419,78.0202364988419,,Sampled,905,MAL,PVC pipes installed,78.0202364988419
MMZ02,Field,,2016-09-17,11:30:00,25.6,6.97,1318.0,0.48,0.01,177.0,180.0,50.0,1.6,43.5206631720102,43.5206631720102,,Sampled,906,MAL,PVC pipes installed,43.5206631720102
MMZ03,Field,,2016-09-17,14:05:00,25.8,6.46,451.5,0.67,0.0,855.0,868.0,50.0,0.16,210.045105449226,210.045105449226,,Sampled,907,MAL,PVC pipes installed,210.045105449226
MMZ04,Field,,2016-09-17,15:45:00,25.5,6.68,469.0,0.62,0.01,865.0,874.0,50.0,0.16,211.995611361697,211.995611361697,,Sampled,908,MAL,PVC pipes installed,211.995611361697
MNK37,Field,,2016-09-22,09:35:00,27.6,6.7,353.7,0.81,0.0,610.0,605.0,50.0,0.16,148.11654272827,148.11654272827,0.2,Sampled,901,MAL,PVC pipes installed,148.11654272827
MNK38,Field,,2016-09-22,11:10:00,27.6,6.54,318.8,0.59,0.0,880.0,870.0,50.0,0.16,213.336584176521,213.336584176521,0.4,Sampled,902,MAL,PVC pipes installed,213.336584176521
MNK39,Field,,2016-09-22,12:50:00,27.7,6.0,171.9,0.7,0.0,381.0,394.0,50.0,0.16,94.4776301353164,94.4776301353164,0.2,Sampled,903,MAL,PVC pipes installed,94.4776301353164
MNK40,Field,,2016-09-23,14:00:00,,,,,,,,,,,,,Not Sampled,904,MAL,,
MNK35,Field,,2016-09-23,09:20:00,28.7,6.19,284.7,1.12,0.0,668.0,681.0,50.0,0.16,164.452029745215,164.452029745215,0.3,Sampled,899,MAL,PVC pipes installed,164.452029745215
MNK36,Field,,2016-09-23,11:15:00,28.7,6.82,237.6,0.84,0.0,520.0,518.0,50.0,0.16,126.539071071559,126.539071071559,0.7,Sampled,900,MAL,PVC pipes installed,126.539071071559
MNK30,Field,,2016-09-23,09:20:00,28.3,6.25,83.34,0.65,0.0,135.0,141.0,50.0,0.16,33.6462269901256,33.6462269901256,0.2,Sampled,894,MAL,PVC pipes installed,33.6462269901256
MNK31,Field,,2016-09-24,11:00:00,27.6,7.4,185.7,0.72,0.0,459.0,458.0,50.0,0.16,111.788370108497,111.788370108497,0.1,Sampled,895,MAL,PVC pipes installed,111.788370108497
MNK32,Field,,2016-09-24,12:15:00,,,,,,,,,,,,,Not Sampled,896,MAL,,
MNK33,Field,,2016-09-24,13:20:00,29.0,7.26,139.6,0.5,0.0,303.0,314.0,50.0,0.16,75.2163842496648,75.2163842496648,0.2,Sampled,897,MAL,PVC pipes installed,75.2163842496648
MNK34,Field,,2016-09-24,14:10:00,,,,,,,,,,,,,Not Sampled,898,MAL,,
MNK26,Field,,2016-09-26,09:35:00,,,,,,,,,,,,,Not Sampled,890,MAL,,
MNK27,Field,,2016-09-26,10:30:00,,,,,,,,,,,,,Not Sampled,891,MAL,,
MNK28,Field,,2016-09-26,12:30:00,29.1,7.03,597.3,1.38,0.01,229.0,221.0,50.0,1.6,54.8579787882482,54.8579787882482,1.0,Sampled,892,MAL,PVC pipes installed,54.8579787882482
MNK29,Field,,2016-09-27,14:00:00,28.2,6.7,180.0,0.45,0.0,400.0,410.0,50.0,0.16,98.7443618188468,98.7443618188468,0.2,Sampled,893,MAL,PVC pipes installed,98.7443618188468
MNK22,Field,,2016-09-27,09:35:00,28.6,6.1,88.95,2.17,0.01,177.0,188.0,50.0,0.16,44.4959161282458,44.4959161282458,0.4,Sampled,886,MAL,PVC pipes installed,44.4959161282458
MNK23,Field,,2016-09-27,10:50:00,,,,,,,,,,,,,Not Sampled,887,MAL,,
MNK24,Field,,2016-09-28,12:20:00,28.4,7.08,713.6,0.49,0.0,161.0,170.0,50.0,1.6,40.3510910642448,40.3510910642448,0.7,Sampled,888,MAL,PVC pipes installed,40.3510910642448
MNK25,Field,,2016-09-28,14:20:00,29.2,6.22,104.6,0.41,0.0,218.0,223.0,50.0,0.16,53.7608192124832,53.7608192124832,0.3,Sampled,889,MAL,PVC pipes installed,53.7608192124832
MNK18,Field,,2016-09-29,09:45:00,27.2,6.51,540.5,0.72,0.02,661.0,641.0,50.0,0.16,158.722418627331,158.722418627331,0.3,Sampled,882,MAL,PVC pipes installed,158.722418627331
MNK19,Field,,2016-09-29,11:30:00,28.3,6.53,293.6,0.8,0.02,346.0,350.0,50.0,0.16,84.8470071924906,84.8470071924906,1.3,Sampled,883,MAL,PVC pipes installed,84.8470071924906
MNK20,Field,,2016-09-29,13:10:00,27.6,6.52,285.0,0.5,0.0,277.0,268.0,50.0,0.16,66.439107643545,66.439107643545,0.2,Sampled,884,MAL,PVC pipes installed,66.439107643545
MNK21,Field,,2016-09-30,14:45:00,,,,,,,,,,,,,Not Sampled,885,MAL,,
MNK14,Field,,2016-09-30,09:45:00,27.7,5.68,31.56,0.92,0.01,41.0,44.0,50.0,0.16,10.3620626600024,10.3620626600024,0.2,Sampled,878,MAL,PVC pipes installed,10.3620626600024
MNK15,Field,,2016-09-30,11:05:00,27.6,6.36,78.68,0.97,0.01,167.0,165.0,50.0,0.16,40.4729976837742,40.4729976837742,0.2,Sampled,879,MAL,PVC pipes installed,40.4729976837742
MNK16,Field,,2016-09-30,13:30:00,28.2,6.01,46.96,0.93,0.0,103.0,113.0,50.0,0.16,26.3318298183591,26.3318298183591,0.2,Sampled,880,MAL,PVC pipes installed,26.3318298183591
MNK17,Field,,2016-10-01,15:00:00,28.7,6.33,83.5,6.62,0.01,206.0,210.0,50.0,0.16,50.7131537242472,50.7131537242472,0.2,Sampled,881,MAL,PVC pipes installed,50.7131537242472
MNK11,Field,,2016-10-01,09:20:00,28.6,6.79,230.1,0.46,0.01,512.0,534.0,50.0,0.16,127.514324027795,127.514324027795,0.2,Sampled,875,MAL,PVC pipes installed,127.514324027795
MNK12,Field,,2016-10-01,11:45:00,,,,,,,,,,,,,Not Sampled,876,MAL,,
MNK13,Field,,2016-10-04,12:50:00,29.9,7.77,526.7,0.53,0.01,138.0,132.0,50.0,1.6,32.9147872729489,32.9147872729489,0.3,Sampled,877,MAL,PVC pipes installed,32.9147872729489
MNK08,Field,,2016-10-04,09:55:00,28.3,6.9,674.7,0.65,0.02,180.0,182.0,50.0,1.6,44.1301962696574,44.1301962696574,0.5,Sampled,872,MAL,PVC pipes installed,44.1301962696574
MNK09,Field,,2016-10-04,12:30:00,28.1,7.02,484.1,0.52,0.0,124.0,128.0,50.0,1.6,30.720468121419,30.720468121419,0.3,Sampled,873,MAL,PVC pipes installed,30.720468121419
MNK10,Field,,2016-10-04,14:15:00,27.6,6.98,387.1,0.6,0.01,818.0,824.0,50.0,0.16,200.170669267341,200.170669267341,0.3,Sampled,874,MAL,PVC pipes installed,200.170669267341
MNK04,Field,,2016-10-05,09:55:00,27.3,6.26,171.2,0.75,0.01,403.0,405.0,50.0,0.16,98.5005485797879,98.5005485797879,0.2,Sampled,868,MAL,PVC pipes installed,98.5005485797879
MNK05,Field,,2016-10-05,11:35:00,27.7,6.27,146.4,0.92,0.01,386.0,386.0,50.0,0.16,94.111910276728,94.111910276728,0.2,Sampled,869,MAL,PVC pipes installed,94.111910276728
MNK06,Field,,2016-10-05,13:00:00,,,,,,,,,,,,,Not Sampled,870,MAL,,
MNK07,Field,,2016-10-06,14:30:00,27.9,6.81,263.9,0.64,0.01,471.0,484.0,50.0,0.16,116.420821650616,116.420821650616,0.4,Sampled,871,MAL,PVC pipes installed,116.420821650616
MNK01,Field,,2016-10-06,10:00:00,27.9,6.79,513.9,0.61,0.0,125.0,118.0,50.0,1.6,296.23308545654,296.23308545654,0.3,Sampled,865,MAL,PVC pipes installed,296.23308545654
MNK02,Field,,2016-10-06,12:35:00,27.4,5.86,105.2,2.52,0.0,166.0,155.0,50.0,0.16,39.1320248689504,39.1320248689504,0.2,Sampled,866,MAL,PVC pipes installed,39.1320248689504
MNK03,Field,,2016-10-06,14:45:00,,,,,,,,,,,,,Not Sampled,867,MAL,,
MLI38,Field,,2016-10-14,09:45:00,25.2,7.15,665.1,1.02,0.02,144.0,154.0,50.0,1.6,36.3281726197733,36.3281726197733,,Sampled,862,MAL,PVC pipes installed,36.3281726197733
MLI39,Field,,2016-10-14,11:20:00,,,,,,,,,,,,,Not sampled,863,MAL,,
MLI40,Field,,2016-10-14,13:05:00,24.1,6.76,1025.0,0.51,0.01,141.0,150.0,50.0,1.6,35.4748262830672,35.4748262830672,,Sampled,864,MAL,PVC pipes installed,35.4748262830672
MLI35,Field,,2016-10-14,09:30:00,24.1,6.45,194.7,0.46,0.0,328.0,333.0,50.0,0.16,80.5802755089601,80.5802755089601,,Sampled,859,MAL,PVC pipes installed,80.5802755089601
MLI36,Field,,2016-10-15,11:30:00,24.0,6.73,259.1,0.39,0.01,545.0,570.0,50.0,0.16,135.925880775326,135.925880775326,,Sampled,860,MAL,PVC pipes installed,135.925880775326
MLI37,Field,,2016-10-15,14:20:00,,,,,,,,,,,,,Not sampled,861,MAL,,
MLI32,Field,,2016-10-15,09:30:00,24.7,6.03,353.7,0.37,0.02,286.0,270.0,50.0,0.16,67.7800804583689,67.7800804583689,,Sampled,856,MAL,PVC pipes installed,67.7800804583689
MLI33,Field,,2016-10-17,11:30:00,24.4,6.25,476.5,0.36,0.02,355.0,364.0,50.0,0.16,87.6508594416677,87.6508594416677,,Sampled,857,MAL,PVC pipes installed,87.6508594416677
MLI34,Field,,2016-10-17,14:10:00,24.0,6.6,339.5,0.36,0.02,570.0,550.0,50.0,0.16,136.535413872973,136.535413872973,,Sampled,858,MAL,PVC pipes installed,136.535413872973
MLI29,Field,,2016-10-17,,,,,,,,,,,,,,Not sampled,853,MAL,,
MLI30,Field,,2016-10-17,10:50:00,24.9,6.07,441.2,0.42,0.02,521.0,576.0,50.0,0.16,133.731561623796,133.731561623796,,Sampled,854,MAL,PVC pipes installed,133.731561623796
MLI31,Field,,2016-10-18,13:40:00,25.6,6.32,203.5,0.4,0.01,470.0,469.0,50.0,0.16,114.470315738145,114.470315738145,,Sampled,855,MAL,PVC pipes installed,114.470315738145
MLI25,Field,,2016-10-18,08:45:00,,,,,,,,,,,,,Not sampled,849,MAL,,
MLI26,Field,,2016-10-18,10:50:00,24.1,6.83,493.1,0.28,0.03,71.0,74.0,50.0,1.6,176.764598317689,176.764598317689,,Sampled,850,MAL,PVC pipes installed,176.764598317689
MLI27,Field,,2016-10-19,11:40:00,,,,,,,,,,,,,Not Sampled,851,MAL,PVC pipes installed,
MLI28,Field,,2016-10-19,13:50:00,25.2,6.76,341.0,0.3,0.0,50.0,51.0,50.0,1.6,123.125685724735,123.125685724735,,Sampled,852,MAL,PVC pipes installed,123.125685724735
MLI22,Field,,2016-10-19,09:10:00,23.9,7.33,227.4,0.28,0.0,139.0,121.0,100.0,1.6,158.478605388273,158.478605388273,,Sampled,846,MAL,PVC pipes installed,158.478605388273
MLI23,Field,,2016-10-19,11:50:00,24.6,6.6,271.9,0.38,0.0,54.0,52.0,50.0,1.6,129.221016701207,129.221016701207,,Sampled,847,MAL,PVC pipes installed,129.221016701207
MLI24,Field,,2016-10-20,14:40:00,24.8,6.67,229.8,0.74,0.02,66.0,54.0,50.0,1.6,146.287943435329,146.287943435329,,Sampled,848,MAL,PVC pipes installed,146.287943435329
MLI19,Field,,2016-10-20,09:05:00,24.2,6.88,914.9,0.33,0.017,247.0,236.0,50.0,1.6,588.808972327197,588.808972327197,,Sampled,843,MAL,PVC pipes installed,588.808972327197
MLI20,Field,,2016-10-20,11:45:00,24.5,7.04,467.8,1.25,0.007,160.0,163.0,50.0,1.6,393.758381080093,393.758381080093,,Sampled,844,MAL,PVC pipes installed,393.758381080093
MLI21,Field,,2016-10-21,13:35:00,,,,,,,,,,,,,Not sampled,845,MAL,,
MLI15,Field,,2016-10-21,08:50:00,23.8,7.19,676.8,0.33,0.007,111.0,105.0,50.0,1.6,263.318298183591,263.318298183591,,Sampled,839,MAL,PVC pipes installed,263.318298183591
MLI16,Field,,2016-10-21,,,,,,,,,,,,,,Not sampled,840,MAL,,
MLI17,Field,,2016-10-22,12:30:00,24.1,7.58,815.0,0.52,0.008,160.0,167.0,50.0,1.6,398.63464586127,398.63464586127,,Sampled,841,MAL,PVC pipes installed,398.63464586127
MLI18,Field,,2016-10-22,14:50:00,24.0,7.22,680.7,0.3,-0.007,152.0,151.0,50.0,1.6,369.377057174205,369.377057174205,,Sampled,842,MAL,PVC pipes installed,369.377057174205
MLI12,Field,,2016-10-22,,,,,,,,,,,,,,Not sampled,836,MAL,,
MLI13,Field,,2016-10-22,11:30:00,24.2,6.96,787.4,0.3,0.018,110.0,115.0,50.0,1.6,274.289893941241,274.289893941241,,Sampled,837,MAL,PVC pipes installed,274.289893941241
MLI14,Field,,2016-10-24,13:27:00,24.9,7.43,694.1,0.3,0.03,150.0,155.0,50.0,1.6,371.815189564793,371.815189564793,,Sampled,838,MAL,PVC pipes installed,371.815189564793
MLI08,Field,,2016-10-24,08:45:00,23.9,6.94,268.1,0.77,0.018,60.0,55.0,50.0,1.6,140.192612458857,140.192612458857,,Sampled,832,MAL,PVC pipes installed,140.192612458857
MLI09,Field,,2016-10-24,,,,,,,,,,,,,,Not sampled,833,MAL,,
MLI10,Field,,2016-10-25,12:25:00,24.7,7.33,1072.0,0.56,0.076,211.0,212.0,50.0,1.6,515.665000609533,515.665000609533,,Sampled,834,MAL,PVC pipes installed,515.665000609533
MLI11,Field,,2016-10-25,,,,,,,,,,,,,,Not sampled,835,MAL,,
MLI05,Field,,2016-10-25,08:55:00,23.9,7.41,681.5,0.28,0.003,139.0,139.0,50.0,1.6,338.900402291844,338.900402291844,,Sampled,829,MAL,PVC pipes installed,338.900402291844
MLI06,Field,,2016-10-26,10:40:00,24.7,6.79,319.8,0.38,0.0,53.0,54.0,50.0,1.6,130.440082896501,130.440082896501,,Sampled,830,MAL,PVC pipes installed,130.440082896501
MLI07,Field,,2016-10-26,12:15:00,25.4,7.08,706.0,0.28,0.074,123.0,125.0,50.0,1.6,302.328416433012,302.328416433012,,Sampled,831,MAL,PVC pipes installed,302.328416433012
