WP_ID,DataType,Date_Assessment_Original,Date_Assessment,Time_Assessment,Temp,pH,SEC,Turbidity,Total_Iron,Titration_1,Titration_2,Volume,N_VALUE,HCO3,Corrected_HCO3,Tryptophan_Probe,Sample_taken,SURVEY_DETAIL_ID,COUNTRY,Comment,Final_HCO3
MMA14,Field,,2016-11-10,15:30:00,27.0,6.87,409.6,0.17,0.009,82.0,84.0,50.0,1.6,202.364988418871,202.364988418871,0.3,Sampled,798,MAL,PVC pipes installed,202.364988418871
MMA08,Field,,2016-11-11,10:40:00,25.2,6.76,247.3,4.7,0.02,57.0,58.0,50.0,1.6,140.192612458857,140.192612458857,0.3,Sampled,792,MAL,PVC pipes installed,140.192612458857
MMA09,Field,,2016-11-11,12:00:00,25.3,6.25,117.9,0.39,0.17,198.0,201.0,50.0,0.16,48.6407411922467,48.6407411922467,0.4,Sampled,793,MAL,PVC pipes installed,48.6407411922467
MMA10,Field,,2016-11-11,13:40:00,26.3,6.74,219.8,0.35,0.013,44.0,46.0,50.0,1.6,109.715957576496,109.715957576496,0.1,Sampled,794,MAL,PVC pipes installed,109.715957576496
MMA11,Field,,2016-11-11,14:50:00,26.1,6.23,203.5,0.22,0.026,372.0,375.0,50.0,0.16,91.064244788492,91.064244788492,0.5,Sampled,795,MAL,PVC pipes installed,91.064244788492
MMA04,Field,,2016-11-11,10:35:00,27.2,6.62,552.6,8.92,0.06,98.0,97.0,50.0,1.6,237.717908082409,237.717908082409,0.7,Sampled,788,MAL,PVC pipes installed,237.717908082409
MMA05,Field,,2016-11-12,12:35:00,26.8,7.0,980.7,0.25,0.0,229.0,230.0,50.0,1.6,559.551383640132,559.551383640132,2.3,Sampled,789,MAL,PVC pipes installed,559.551383640132
MMA06,Field,,2016-11-12,14:05:00,27.3,6.77,307.0,0.25,0.026,64.0,65.0,50.0,1.6,157.259539192978,157.259539192978,0.2,Sampled,790,MAL,PVC pipes installed,157.259539192978
MMA07,Field,,2016-11-14,15:20:00,27.0,7.23,803.7,0.14,0.008,187.0,188.0,50.0,1.6,457.149823235402,457.149823235402,0.2,Sampled,791,MAL,PVC pipes installed,457.149823235402
MMA01,Field,,2016-11-14,09:50:00,26.6,6.82,602.0,0.18,0.09,142.0,144.0,50.0,1.6,348.6529318542,348.6529318542,0.4,Sampled,785,MAL,PVC pipes installed,348.6529318542
MMA02,Field,,2016-11-14,11:45:00,26.5,6.73,415.0,0.24,0.02,94.0,100.0,50.0,1.6,236.498841887114,236.498841887114,0.3,Sampled,786,MAL,PVC pipes installed,236.498841887114
MMA03,Field,,2016-11-14,14:35:00,27.6,6.65,183.2,0.82,0.0,28.0,26.0,50.0,1.6,65.8295745458978,65.8295745458978,0.3,Sampled,787,MAL,PVC pipes installed,65.8295745458978
MBA37,Field,,2016-11-22,08:55:00,26.2,7.12,657.0,0.16,0.04,179.0,196.0,50.0,1.6,45.7149823235402,45.7149823235402,0.9,Sampled,781,MAL,PVC pipes installed,45.7149823235402
MBA38,Field,,2016-11-22,,,,,,,,,,,,,,Not Sampled,782,MAL,,
MBA39,Field,,2016-11-22,11:30:00,26.9,7.12,1554.0,0.17,0.02,274.0,276.0,50.0,1.6,67.0486407411923,67.0486407411923,1.0,Sampled,783,MAL,PVC pipes installed,67.0486407411923
MBA40,Field,,2016-11-22,13:40:00,27.2,6.73,330.0,1.1,0.04,70.0,72.0,50.0,1.6,17.3107399731805,17.3107399731805,0.2,Sampled,784,MAL,PVC pipes installed,17.3107399731805
MBA33,Field,,2016-11-23,10:00:00,28.6,7.34,1370.0,0.22,0.02,305.0,310.0,50.0,1.6,749.725710106059,749.725710106059,1.5,Sampled,777,MAL,PVC pipes installed,749.725710106059
MBA34,Field,,2016-11-23,11:55:00,28.0,7.22,1053.0,0.19,0.01,212.0,210.0,50.0,1.6,514.445934414239,514.445934414239,0.5,Sampled,778,MAL,PVC pipes installed,514.445934414239
MBA35,Field,,2016-11-23,,,,,,,,,,,,,,Not Sampled,779,MAL,,
MBA36,Field,,2016-11-23,14:40:00,26.5,7.01,828.0,0.21,0.0,180.0,174.0,50.0,1.6,431.549433134219,431.549433134219,2.1,Sampled,780,MAL,PVC pipes installed,431.549433134219
MBA29,Field,,2016-11-25,09:47:00,28.3,7.51,1286.0,0.21,0.0,320.0,317.0,50.0,1.6,776.545166402536,776.545166402536,2.3,Sampled,773,MAL,PVC pipes installed,776.545166402536
MBA30,Field,,2016-11-25,12:10:00,27.7,7.42,1393.0,1.42,0.02,324.0,330.0,50.0,1.6,797.269291722541,797.269291722541,0.6,Sampled,774,MAL,PVC pipes installed,797.269291722541
MBA31,Field,,2016-11-25,13:50:00,27.7,7.05,509.2,3.4,0.0,138.0,109.0,50.0,1.6,301.109350237718,301.109350237718,1.6,Sampled,775,MAL,PVC pipes installed,301.109350237718
MBA32,Field,,2016-11-25,15:05:00,27.6,6.78,522.6,0.44,0.05,109.0,108.0,50.0,1.6,264.537364378886,264.537364378886,0.5,Sampled,776,MAL,PVC pipes installed,264.537364378886
MBA25,Field,,2016-11-28,10:28:00,26.7,7.98,479.0,0.19,0.0,114.0,116.0,50.0,1.6,280.385224917713,280.385224917713,0.8,Sampled,769,MAL,PVC pipes installed,280.385224917713
MBA26,Field,,2016-11-28,,,,,,,,,,,,,,Not Sampled,770,MAL,,
MBA27,Field,,2016-11-28,13:05:00,28.2,6.96,2710.0,1.27,0.0,244.0,244.0,50.0,1.6,594.904303303669,594.904303303669,1.0,Sampled,771,MAL,PVC pipes installed,594.904303303669
MBA28,Field,,2016-11-29,14:30:00,27.2,6.79,332.4,0.15,0.01,72.0,75.0,50.0,1.6,179.202730708277,179.202730708277,1.3,Sampled,772,MAL,PVC pipes installed,179.202730708277
MBA22,Field,,2016-11-29,11:00:00,27.1,7.54,1095.0,0.2,0.01,198.0,200.0,50.0,1.6,485.188345727173,485.188345727173,0.5,Sampled,766,MAL,PVC pipes installed,485.188345727173
MBA23,Field,,2016-11-30,13:21:00,28.5,7.64,775.0,1.5,0.03,194.0,193.0,50.0,1.6,471.778617578935,471.778617578935,0.4,Sampled,767,MAL,PVC pipes installed,471.778617578935
MBA24,Field,,2016-11-30,15:00:00,27.4,7.15,431.0,0.17,0.02,113.0,114.0,50.0,1.6,276.72802633183,276.72802633183,0.7,Sampled,768,MAL,PVC pipes installed,276.72802633183
MBA18,Field,,2016-11-30,08:56:00,26.4,7.65,1258.0,0.42,0.0,298.0,300.0,50.0,1.6,729.001584786054,729.001584786054,3.4,Sampled,762,MAL,PVC pipes installed,729.001584786054
MBA19,Field,,2016-12-01,10:40:00,26.7,7.6,533.0,0.36,0.04,130.0,128.0,50.0,1.6,314.519078385956,314.519078385956,1.4,Sampled,763,MAL,PVC pipes installed,314.519078385956
MBA20,Field,,2016-12-01,12:25:00,27.2,7.65,864.0,0.39,0.08,220.0,221.0,50.0,1.6,537.608192124832,537.608192124832,0.5,Sampled,764,MAL,PVC pipes installed,537.608192124832
MBA21,Field,,2016-12-02,13:50:00,26.7,7.59,1197.0,0.24,0.0,270.0,274.0,50.0,1.6,663.172010240156,663.172010240156,0.5,Sampled,765,MAL,PVC pipes installed,663.172010240156
MBA15,Field,,2016-12-02,09:02:00,26.5,7.39,604.0,0.2,0.01,172.0,167.0,50.0,1.6,413.263440204803,413.263440204803,1.0,Sampled,759,MAL,PVC pipes installed,413.263440204803
MBA16,Field,,2016-12-05,10:45:00,26.7,7.3,491.0,0.62,0.01,140.0,135.0,50.0,1.6,335.243203705961,335.243203705961,0.7,Sampled,760,MAL,PVC pipes installed,335.243203705961
MBA17,Field,,2016-12-05,12:30:00,27.4,7.3,2270.0,0.17,0.02,296.0,274.0,50.0,1.6,694.86773131781,694.86773131781,2.0,Sampled,761,MAL,PVC pipes installed,694.86773131781
MBA11,Field,,2016-12-05,09:50:00,28.2,7.45,1250.0,0.7,0.01,283.0,285.0,50.0,1.6,692.429598927222,692.429598927222,0.16,Sampled,755,MAL,PVC pipes installed,692.429598927222
MBA12,Field,,2016-12-06,12:07:00,28.2,7.65,798.0,0.16,0.0,195.0,204.0,50.0,1.6,486.407411922467,486.407411922467,0.7,Sampled,756,MAL,PVC pipes installed,486.407411922467
MBA13,Field,,2016-12-06,14:05:00,27.3,7.75,612.0,0.35,0.01,185.0,182.0,50.0,1.6,447.397293673046,447.397293673046,1.0,Sampled,757,MAL,PVC pipes installed,447.397293673046
MBA14,Field,,2016-12-06,,,,,,,,,,,,,,Not Sampled,758,MAL,,
MBA08,Field,,2016-12-07,09:50:00,26.6,7.06,673.3,1.22,0.01,167.0,154.0,50.0,1.6,391.320248689504,391.320248689504,0.8,Sampled,752,MAL,PVC pipes installed,391.320248689504
MBA09,Field,,2016-12-07,12:11:00,26.9,7.06,1119.0,0.15,0.01,310.0,321.0,50.0,1.6,769.230769230769,769.230769230769,1.9,Sampled,753,MAL,PVC pipes installed,769.230769230769
MBA10,Field,,2016-12-07,15:02:00,27.1,7.43,1148.0,0.26,0.01,284.0,290.0,50.0,1.6,699.743996098988,699.743996098988,1.0,Sampled,754,MAL,PVC pipes installed,699.743996098988
MBA06,Field,,2016-12-07,11:00:00,27.0,6.99,906.1,0.31,0.006,210.0,210.0,50.0,1.6,512.00780202365,512.00780202365,0.5,Sampled,750,MAL,PVC pipes installed,512.00780202365
MBA07,Field,,2016-12-08,12:25:00,26.6,7.08,551.9,0.79,0.01,129.0,126.0,50.0,1.6,310.861879800073,310.861879800073,0.8,Sampled,751,MAL,PVC pipes installed,310.861879800073
MBA03,Field,,2016-12-08,10:25:00,26.7,7.19,1652.0,12.0,0.008,289.0,273.0,50.0,1.6,685.115201755455,685.115201755455,1.1,Sampled,747,MAL,PVC pipes installed,685.115201755455
MBA04,Field,,2016-12-09,12:31:00,26.7,7.02,973.01,0.08,0.005,228.0,231.0,50.0,1.6,559.551383640132,559.551383640132,1.0,Sampled,748,MAL,PVC pipes installed,559.551383640132
MBA05,Field,,2016-12-09,14:45:00,26.7,7.0,1062.0,0.08,0.003,252.0,262.0,50.0,1.6,626.600024381324,626.600024381324,0.7,Sampled,749,MAL,PVC pipes installed,626.600024381324
MBA01,Field,,2016-12-09,11:55:00,26.8,6.92,1160.0,1.02,0.005,162.0,164.0,50.0,1.6,397.415579665976,397.415579665976,0.7,Sampled,745,MAL,PVC pipes installed,397.415579665976
MBA02,Field,,2016-12-09,14:35:00,25.0,7.07,2654.0,0.28,0.005,226.0,220.0,50.0,1.6,543.703523101304,543.703523101304,1.4,Sampled,746,MAL,PVC pipes installed,543.703523101304
